S	E	I	R
155	2	2	0
155	1	3	0
154	2	3	0
154	2	3	0
154	2	3	0
153	3	3	0
153	3	3	0
153	2	4	0
152	3	4	0
152	3	4	0
152	3	4	0
152	3	4	0
152	3	4	0
152	3	4	0
152	3	4	0
152	3	4	0
152	3	4	0
152	3	4	0
152	3	4	0
152	3	4	0
152	3	4	0
152	3	4	0
152	3	4	0
152	3	4	0
152	3	4	0
152	2	5	0
152	2	5	0
152	1	6	0
152	1	6	0
152	1	6	0
151	2	6	0
151	2	6	0
151	2	6	0
151	2	6	0
151	2	6	0
151	2	6	0
151	2	6	0
150	3	6	0
150	2	7	0
150	2	7	0
149	3	7	0
149	3	7	0
149	3	7	0
149	3	7	0
149	3	7	0
149	3	7	0
149	1	9	0
147	3	9	0
145	5	9	0
145	4	10	0
144	5	10	0
144	5	10	0
144	5	10	0
144	5	10	0
144	5	10	0
144	4	11	0
144	4	11	0
144	3	12	0
144	3	12	0
144	3	12	0
144	3	12	0
144	3	12	0
144	3	12	0
144	3	12	0
144	3	12	0
144	3	12	0
144	3	12	0
144	3	12	0
144	3	12	0
144	3	12	0
144	2	13	0
144	2	13	0
144	2	13	0
144	2	13	0
144	2	13	0
143	3	13	0
143	3	13	0
143	3	13	0
143	3	13	0
143	3	13	0
143	2	14	0
143	2	14	0
143	2	14	0
143	2	14	0
143	2	14	0
143	2	14	0
143	1	15	0
142	1	16	0
142	1	16	0
142	1	16	0
142	1	16	0
142	1	16	0
142	1	16	0
142	1	16	0
142	1	16	0
141	2	16	0
141	2	16	0
141	2	16	0
141	2	16	0
141	2	16	0
141	2	16	0
141	2	16	0
141	2	16	0
141	2	16	0
141	1	17	0
141	1	17	0
141	1	17	0
141	1	17	0
141	1	17	0
141	1	17	0
141	1	17	0
141	1	17	0
141	1	17	0
141	1	17	0
141	1	17	0
141	1	17	0
141	1	17	0
141	1	17	0
140	2	17	0
140	2	17	0
139	3	17	0
139	3	17	0
139	3	17	0
139	2	18	0
139	2	18	0
139	2	18	0
139	1	18	1
138	2	18	1
138	2	18	1
138	2	18	1
138	1	19	1
138	1	19	1
138	1	19	1
138	1	19	1
138	1	19	1
138	1	19	1
138	1	19	1
138	1	19	1
138	1	19	1
138	1	19	1
138	1	19	1
138	1	19	1
138	1	19	1
138	1	19	1
138	1	19	1
138	1	19	1
138	1	19	1
138	1	19	1
