S	E	I	R
313	3	2	0
313	3	2	0
312	4	2	0
312	3	3	0
312	3	3	0
312	3	3	0
312	3	3	0
312	3	3	0
312	3	2	1
312	3	2	1
312	3	2	1
312	3	2	1
312	2	3	1
311	3	3	1
311	3	3	1
311	3	3	1
311	3	3	1
311	3	3	1
311	3	3	1
311	3	3	1
311	3	3	1
311	3	3	1
311	3	3	1
311	3	3	1
311	3	3	1
311	3	3	1
311	3	3	1
311	3	3	1
311	3	3	1
311	3	3	1
311	3	3	1
311	3	3	1
311	2	4	1
311	2	4	1
310	3	4	1
310	3	4	1
309	3	5	1
309	3	5	1
308	3	6	1
308	3	6	1
308	3	6	1
308	3	6	1
308	3	6	1
308	3	6	1
308	3	6	1
308	2	7	1
307	3	7	1
307	3	7	1
307	3	7	1
307	3	7	1
307	3	7	1
307	3	6	2
307	3	6	2
307	3	6	2
307	3	6	2
307	3	6	2
307	3	6	2
307	3	6	2
307	3	6	2
307	3	6	2
307	3	6	2
306	4	6	2
306	4	6	2
306	3	7	2
305	4	7	2
305	4	7	2
305	4	7	2
305	3	8	2
305	3	8	2
305	2	9	2
305	1	10	2
303	2	11	2
303	2	11	2
303	2	11	2
303	2	11	2
303	1	12	2
301	3	12	2
301	3	12	2
301	3	12	2
300	4	12	2
300	4	12	2
300	4	12	2
300	4	12	2
299	5	12	2
299	3	14	2
298	4	14	2
298	4	14	2
298	4	14	2
298	4	14	2
297	4	15	2
297	4	15	2
297	4	15	2
296	5	15	2
296	5	15	2
296	4	16	2
296	4	16	2
296	4	16	2
296	4	16	2
296	4	16	2
296	3	17	2
294	4	18	2
294	4	18	2
294	4	18	2
294	4	18	2
293	4	19	2
293	3	19	3
292	4	18	4
292	3	19	4
290	5	18	5
290	4	19	5
290	4	19	5
290	4	19	5
290	3	20	5
290	3	20	5
290	3	20	5
290	3	20	5
290	3	20	5
290	3	20	5
290	3	20	5
290	3	20	5
290	3	20	5
290	3	20	5
290	3	20	5
290	3	20	5
290	3	20	5
290	3	19	6
290	3	18	7
289	4	18	7
289	4	17	8
289	4	17	8
289	4	17	8
289	4	17	8
289	4	16	9
289	3	17	9
288	4	17	9
288	4	17	9
288	4	17	9
287	5	17	9
287	4	18	9
287	4	18	9
287	4	18	9
287	3	19	9
287	3	18	10
287	3	17	11
287	3	16	12
287	3	16	12
286	4	16	12
286	4	15	13
286	4	15	13
286	4	15	13
286	3	16	13
286	3	16	13
286	3	16	13
286	3	16	13
286	3	16	13
285	4	15	14
285	4	15	14
285	4	15	14
285	4	15	14
285	4	15	14
285	4	14	15
285	4	14	15
285	4	14	15
285	2	16	15
285	2	16	15
285	2	16	15
285	2	16	15
285	2	16	15
285	2	16	15
285	1	17	15
283	3	16	16
283	2	17	16
283	2	17	16
283	2	17	16
283	2	17	16
283	2	17	16
283	2	17	16
283	2	17	16
282	2	18	16
281	3	18	16
281	3	17	17
281	3	17	17
281	3	17	17
281	3	17	17
281	3	17	17
281	3	17	17
281	3	17	17
281	3	17	17
281	3	17	17
281	3	17	17
281	3	17	17
281	3	17	17
281	3	17	17
281	3	17	17
280	4	17	17
280	4	17	17
280	4	17	17
280	4	17	17
280	4	16	18
280	4	16	18
280	4	16	18
280	4	16	18
280	4	16	18
280	4	16	18
280	4	16	18
280	4	16	18
280	4	16	18
280	4	16	18
280	4	16	18
280	4	15	19
280	4	15	19
280	4	15	19
280	4	15	19
280	3	16	19
280	3	16	19
280	3	16	19
280	3	16	19
280	3	16	19
280	3	16	19
280	3	16	19
280	3	15	20
280	3	15	20
280	3	15	20
280	3	15	20
280	3	15	20
280	3	15	20
280	2	16	20
279	3	15	21
279	3	15	21
279	3	15	21
278	4	15	21
278	3	16	21
276	5	16	21
275	5	17	21
273	7	17	21
273	6	18	21
272	7	18	21
272	4	20	22
272	4	20	22
272	4	20	22
272	4	20	22
271	5	19	23
271	5	19	23
271	5	19	23
271	5	19	23
271	5	19	23
271	5	19	23
271	5	18	24
271	5	17	25
271	5	16	26
271	4	17	26
270	5	17	26
270	4	18	26
270	4	17	27
270	4	17	27
270	4	17	27
270	4	17	27
270	4	17	27
270	3	18	27
270	3	18	27
270	3	18	27
270	3	18	27
270	3	18	27
270	3	18	27
270	3	18	27
270	3	18	27
270	3	18	27
270	2	19	27
270	2	19	27
270	2	19	27
270	2	19	27
269	2	20	27
269	2	19	28
269	2	19	28
269	2	19	28
269	2	19	28
268	3	19	28
268	3	19	28
268	3	19	28
268	3	19	28
268	3	19	28
268	3	19	28
268	3	19	28
268	3	19	28
268	3	19	28
268	3	19	28
268	3	19	28
268	3	19	28
268	3	19	28
268	3	19	28
268	3	19	28
267	4	19	28
267	4	19	28
267	4	19	28
267	4	19	28
267	4	19	28
267	4	19	28
267	4	19	28
267	4	19	28
267	4	19	28
267	4	19	28
267	4	19	28
267	4	19	28
267	4	19	28
267	4	19	28
267	3	20	28
266	4	20	28
266	3	21	28
266	3	21	28
266	3	21	28
266	2	22	28
266	2	22	28
266	2	22	28
266	2	22	28
266	2	22	28
266	2	22	28
266	2	22	28
266	2	22	28
266	2	22	28
266	2	22	28
266	2	21	29
266	2	21	29
266	2	21	29
266	2	21	29
266	2	21	29
266	2	21	29
266	2	21	29
266	2	21	29
266	2	20	30
266	2	19	31
266	1	20	31
265	2	20	31
265	2	20	31
265	2	20	31
265	2	20	31
265	2	20	31
265	2	20	31
265	2	20	31
265	2	20	31
265	2	20	31
265	2	20	31
265	2	20	31
265	2	20	31
265	2	20	31
265	2	19	32
265	2	19	32
265	2	19	32
265	2	19	32
265	1	19	33
263	2	20	33
262	3	20	33
262	3	20	33
262	3	20	33
262	2	21	33
261	3	21	33
261	3	21	33
261	3	21	33
261	3	21	33
261	3	21	33
261	3	21	33
261	3	21	33
261	2	22	33
260	3	22	33
260	3	22	33
260	1	24	33
260	1	23	34
260	1	23	34
260	1	23	34
260	1	23	34
260	1	23	34
260	1	23	34
260	1	23	34
260	1	23	34
259	2	22	35
258	3	22	35
258	3	22	35
258	3	22	35
258	3	22	35
258	3	22	35
258	3	22	35
258	3	22	35
258	3	22	35
258	3	21	36
258	2	22	36
258	2	22	36
258	2	22	36
258	2	22	36
258	2	21	37
257	3	21	37
257	3	21	37
257	3	21	37
257	3	21	37
257	3	21	37
257	3	21	37
257	3	21	37
257	3	21	37
257	3	21	37
257	3	20	38
257	2	21	38
257	2	21	38
257	2	21	38
257	2	21	38
257	2	21	38
257	2	21	38
257	2	21	38
257	2	21	38
257	1	22	38
257	1	22	38
256	2	22	38
256	2	22	38
256	1	23	38
255	2	23	38
255	2	23	38
255	2	23	38
255	1	24	38
255	1	24	38
255	1	24	38
255	1	24	38
255	1	24	38
255	1	24	38
255	1	24	38
255	1	24	38
255	1	24	38
255	1	24	38
255	1	24	38
255	1	24	38
255	1	24	38
255	1	24	38
255	0	25	38
254	1	25	38
254	1	25	38
254	0	26	38
254	0	26	38
254	0	25	39
254	0	25	39
254	0	25	39
254	0	25	39
254	0	25	39
254	0	25	39
254	0	25	39
254	0	25	39
254	0	25	39
254	0	24	40
254	0	24	40
254	0	23	41
254	0	23	41
254	0	23	41
254	0	23	41
253	1	23	41
253	1	23	41
252	2	23	41
252	2	23	41
252	2	23	41
252	2	23	41
252	2	23	41
252	2	23	41
252	2	22	42
252	2	22	42
252	2	21	43
252	2	21	43
252	2	21	43
252	2	21	43
252	2	21	43
252	2	21	43
252	2	21	43
252	2	21	43
252	2	21	43
252	2	21	43
252	0	23	43
250	2	23	43
250	2	23	43
250	2	23	43
250	2	23	43
250	2	23	43
250	2	23	43
250	2	23	43
250	2	23	43
248	4	23	43
248	4	23	43
248	4	23	43
248	4	23	43
248	4	22	44
248	4	22	44
248	4	22	44
248	4	22	44
248	4	21	45
248	4	21	45
248	4	21	45
248	4	21	45
248	4	20	46
248	3	21	46
247	4	21	46
247	3	22	46
243	6	23	46
243	6	22	47
242	5	24	47
241	5	25	47
240	6	25	47
240	6	25	47
240	6	25	47
240	5	26	47
240	4	27	47
239	5	26	48
239	4	27	48
239	4	27	48
239	4	27	48
239	4	27	48
239	4	27	48
239	4	27	48
239	4	27	48
239	4	27	48
239	4	27	48
239	4	27	48
239	3	28	48
239	3	28	48
239	3	28	48
239	3	28	48
239	2	29	48
239	2	29	48
239	2	28	49
239	1	29	49
239	1	29	49
239	1	29	49
239	1	29	49
239	1	29	49
239	1	29	49
239	1	29	49
239	1	29	49
239	1	29	49
239	1	29	49
239	1	29	49
238	2	29	49
238	2	28	50
238	2	28	50
238	2	28	50
237	2	29	50
236	3	29	50
236	3	29	50
236	3	29	50
236	3	29	50
236	2	30	50
236	2	30	50
235	3	30	50
235	3	30	50
235	3	30	50
234	3	31	50
232	5	31	50
232	4	32	50
231	5	31	51
231	5	31	51
231	4	32	51
229	6	32	51
229	6	32	51
229	6	32	51
229	6	32	51
229	6	32	51
229	6	32	51
229	6	32	51
229	6	32	51
229	5	33	51
229	4	34	51
229	4	34	51
228	5	34	51
228	5	34	51
228	5	34	51
228	5	34	51
228	5	34	51
228	5	33	52
228	4	34	52
228	4	34	52
228	4	34	52
228	4	34	52
228	4	34	52
228	4	34	52
228	4	33	53
228	4	33	53
228	4	33	53
227	5	33	53
226	5	34	53
226	5	34	53
226	5	34	53
226	5	34	53
226	5	34	53
226	5	34	53
226	4	35	53
226	4	35	53
226	4	35	53
225	5	35	53
225	5	35	53
225	5	34	54
225	3	35	55
225	3	35	55
225	3	35	55
225	3	35	55
225	3	34	56
225	3	34	56
225	3	34	56
225	3	34	56
225	3	34	56
225	2	35	56
225	2	35	56
225	2	35	56
225	2	34	57
224	3	34	57
224	2	35	57
224	2	35	57
224	2	35	57
224	2	34	58
224	2	34	58
224	2	33	59
223	3	33	59
222	4	33	59
222	3	34	59
222	3	34	59
222	3	34	59
222	3	34	59
222	3	34	59
222	3	34	59
222	3	34	59
222	3	34	59
222	3	34	59
222	3	34	59
222	3	32	61
222	3	32	61
222	3	32	61
222	3	32	61
222	3	32	61
