S	E	I	R
310	6	2	0
309	7	2	0
309	7	2	0
309	7	2	0
309	7	2	0
309	7	2	0
309	6	3	0
307	8	3	0
307	8	3	0
307	8	3	0
307	7	4	0
307	7	4	0
306	7	5	0
306	7	5	0
306	6	6	0
303	8	7	0
302	9	7	0
302	9	7	0
302	8	8	0
302	7	9	0
300	9	9	0
300	8	10	0
300	8	10	0
300	8	10	0
300	8	10	0
300	8	10	0
300	8	10	0
300	8	10	0
300	8	10	0
300	7	11	0
300	7	11	0
299	7	12	0
299	7	12	0
299	7	12	0
299	7	12	0
299	7	12	0
299	7	12	0
298	7	13	0
296	7	15	0
296	7	15	0
296	7	15	0
296	7	15	0
295	8	15	0
295	8	15	0
294	9	15	0
294	9	15	0
294	8	16	0
294	8	16	0
294	8	16	0
294	8	16	0
294	8	16	0
294	7	17	0
292	9	17	0
292	9	17	0
292	8	18	0
292	7	19	0
292	7	19	0
292	6	19	1
292	6	19	1
291	7	19	1
290	8	19	1
290	7	19	2
290	7	19	2
290	7	18	3
290	7	17	4
290	7	17	4
290	5	19	4
290	5	19	4
290	5	19	4
290	3	21	4
290	2	22	4
290	2	22	4
290	2	22	4
290	2	22	4
290	2	22	4
289	3	22	4
289	3	22	4
289	3	22	4
288	4	22	4
288	4	22	4
288	4	22	4
288	3	23	4
287	4	23	4
287	3	24	4
285	5	24	4
284	5	25	4
284	4	26	4
283	4	27	4
283	4	27	4
282	4	28	4
282	4	28	4
282	4	28	4
282	4	28	4
282	4	28	4
282	4	28	4
282	4	28	4
282	3	29	4
281	4	29	4
281	4	29	4
281	3	30	4
281	3	29	5
281	3	29	5
281	3	29	5
281	3	29	5
281	3	29	5
281	3	29	5
281	3	29	5
281	3	29	5
281	3	29	5
281	3	29	5
281	3	28	6
281	3	28	6
281	2	29	6
281	2	29	6
280	3	29	6
280	3	29	6
280	3	29	6
280	3	29	6
280	3	29	6
279	4	29	6
279	3	30	6
278	2	30	8
276	4	30	8
276	4	30	8
276	4	30	8
276	4	30	8
275	4	31	8
274	5	31	8
274	5	31	8
274	5	31	8
274	5	30	9
274	3	31	10
273	4	31	10
273	3	32	10
273	3	32	10
273	2	33	10
273	2	33	10
273	2	33	10
273	2	32	11
273	2	32	11
273	1	33	11
273	1	33	11
272	2	33	11
272	2	33	11
272	2	33	11
272	2	33	11
272	2	33	11
271	3	33	11
271	2	34	11
271	2	34	11
271	2	34	11
270	3	33	12
270	3	33	12
270	3	33	12
270	3	33	12
269	4	33	12
269	4	33	12
269	4	33	12
269	4	33	12
269	3	33	13
267	5	33	13
267	3	35	13
266	3	36	13
266	3	35	14
266	3	35	14
264	5	35	14
264	5	35	14
264	4	36	14
263	5	36	14
263	5	36	14
263	5	36	14
262	5	37	14
261	6	37	14
261	6	37	14
261	5	38	14
260	6	38	14
260	3	41	14
260	3	41	14
260	3	38	17
260	2	39	17
260	2	39	17
260	2	39	17
260	2	39	17
259	3	39	17
259	3	38	18
258	3	39	18
256	5	38	19
256	5	38	19
256	4	39	19
256	3	39	20
256	3	39	20
256	3	39	20
256	3	39	20
256	3	39	20
256	3	39	20
255	4	39	20
255	3	40	20
255	3	40	20
255	3	40	20
255	3	40	20
255	3	40	20
255	2	41	20
254	3	41	20
254	2	41	21
253	3	41	21
253	3	40	22
253	3	40	22
253	3	40	22
252	3	41	22
250	5	40	23
250	5	40	23
250	4	41	23
249	4	41	24
249	4	41	24
249	4	40	25
249	4	40	25
249	3	41	25
249	2	42	25
249	2	41	26
249	2	41	26
248	3	41	26
248	3	40	27
248	3	40	27
248	3	38	29
248	3	38	29
248	3	38	29
248	3	37	30
248	3	36	31
248	3	36	31
248	3	35	32
248	3	35	32
248	3	35	32
248	3	34	33
248	3	34	33
248	3	34	33
248	3	34	33
248	1	36	33
248	1	36	33
248	1	36	33
248	1	36	33
247	2	36	33
247	2	35	34
247	2	35	34
247	2	35	34
246	3	35	34
246	3	34	35
246	3	34	35
245	4	34	35
245	4	34	35
245	3	35	35
245	3	35	35
245	3	35	35
245	3	35	35
245	2	35	36
243	4	35	36
243	3	36	36
243	3	36	36
243	3	36	36
243	3	36	36
243	3	36	36
243	3	35	37
243	3	35	37
243	2	36	37
242	3	36	37
241	4	36	37
240	5	36	37
240	4	36	38
240	4	36	38
240	4	36	38
240	4	36	38
240	4	36	38
240	3	37	38
239	4	37	38
239	4	37	38
239	4	36	39
239	4	35	40
239	4	35	40
239	4	35	40
239	4	34	41
239	4	34	41
239	4	34	41
239	3	35	41
239	3	35	41
238	3	36	41
237	4	36	41
237	4	36	41
237	3	37	41
237	3	37	41
237	3	37	41
237	3	37	41
237	3	37	41
237	1	39	41
237	1	39	41
237	1	39	41
236	2	39	41
236	2	39	41
236	2	39	41
236	2	39	41
236	2	38	42
235	3	38	42
235	3	38	42
235	3	38	42
235	3	38	42
235	2	36	45
235	2	36	45
235	1	37	45
234	2	37	45
234	2	37	45
234	2	37	45
234	1	38	45
232	2	39	45
232	2	39	45
232	2	39	45
232	2	39	45
232	2	39	45
231	3	39	45
231	2	40	45
229	4	40	45
229	4	39	46
229	4	38	47
229	3	39	47
229	3	38	48
229	3	38	48
229	3	37	49
229	3	37	49
229	1	39	49
228	2	39	49
227	3	39	49
227	3	39	49
227	3	39	49
227	3	39	49
227	3	39	49
226	3	39	50
226	3	38	51
226	3	38	51
225	4	38	51
225	4	38	51
224	4	39	51
224	4	39	51
224	4	39	51
224	4	39	51
224	4	38	52
224	4	38	52
224	3	39	52
223	3	40	52
223	3	40	52
222	4	39	53
222	4	39	53
222	4	38	54
222	3	39	54
222	3	39	54
222	3	39	54
222	3	39	54
222	3	39	54
222	3	37	56
222	3	37	56
222	3	36	57
222	2	37	57
221	2	38	57
221	2	38	57
218	5	38	57
218	5	38	57
218	5	38	57
218	5	38	57
218	4	39	57
218	4	39	57
218	4	39	57
218	4	39	57
218	3	40	57
217	4	40	57
217	4	40	57
217	4	38	59
217	3	39	59
215	5	39	59
215	5	38	60
215	4	39	60
214	5	39	60
214	5	39	60
214	5	39	60
214	5	39	60
214	5	39	60
213	6	39	60
213	6	39	60
212	7	39	60
212	7	39	60
212	7	38	61
212	6	39	61
212	5	40	61
212	4	41	61
212	4	41	61
212	4	41	61
210	5	42	61
209	6	41	62
209	6	41	62
209	6	41	62
209	5	42	62
209	5	42	62
209	5	41	63
209	5	41	63
209	5	41	63
209	4	42	63
208	5	42	63
206	7	41	64
206	7	41	64
206	7	41	64
206	7	41	64
206	6	42	64
205	7	42	64
205	7	42	64
205	7	42	64
205	7	42	64
205	7	42	64
205	7	42	64
205	7	42	64
205	7	42	64
204	8	42	64
204	8	42	64
204	7	43	64
203	8	42	65
203	8	42	65
203	8	42	65
203	8	42	65
203	7	43	65
203	7	43	65
203	6	44	65
201	8	44	65
200	9	44	65
200	9	44	65
200	8	45	65
198	9	46	65
198	9	46	65
198	8	47	65
198	8	47	65
198	8	47	65
198	6	49	65
198	4	51	65
198	4	50	66
197	4	50	67
197	4	50	67
197	4	49	68
197	4	49	68
197	4	48	69
197	4	48	69
197	4	48	69
197	4	47	70
197	4	46	71
197	4	46	71
197	4	46	71
197	3	47	71
197	3	47	71
197	3	47	71
197	3	47	71
197	3	47	71
197	3	46	72
197	2	47	72
197	2	47	72
196	3	47	72
196	3	47	72
196	3	47	72
195	4	47	72
195	4	47	72
195	3	48	72
194	4	48	72
194	3	49	72
193	4	48	73
193	3	49	73
192	4	49	73
192	4	49	73
192	4	49	73
192	4	49	73
192	4	49	73
192	4	49	73
192	4	49	73
192	3	49	74
192	3	49	74
192	2	49	75
192	2	49	75
192	2	49	75
192	2	48	76
192	2	48	76
191	3	48	76
191	3	48	76
191	3	48	76
191	3	48	76
191	3	48	76
190	4	46	78
190	4	45	79
190	4	45	79
190	4	45	79
190	4	44	80
190	4	44	80
190	4	44	80
190	4	44	80
190	3	45	80
190	3	45	80
190	2	46	80
190	2	46	80
190	2	46	80
190	2	46	80
190	2	46	80
190	2	45	81
190	2	45	81
190	2	45	81
190	2	45	81
190	2	45	81
190	2	45	81
190	2	44	82
190	2	44	82
190	1	45	82
190	1	45	82
190	1	45	82
190	1	45	82
190	1	45	82
190	1	44	83
190	1	44	83
190	1	44	83
190	1	44	83
189	2	44	83
189	1	45	83
188	2	45	83
188	2	45	83
188	2	45	83
188	2	45	83
188	2	45	83
188	1	46	83
188	1	46	83
187	1	47	83
187	1	47	83
187	0	48	83
186	1	48	83
186	1	48	83
185	2	48	83
185	2	48	83
185	2	47	84
185	2	47	84
185	2	46	85
185	2	46	85
185	2	46	85
185	2	46	85
185	2	46	85
185	2	46	85
185	2	46	85
185	2	46	85
185	2	46	85
185	2	46	85
185	2	46	85
185	2	46	85
185	2	46	85
185	2	45	86
185	2	45	86
185	2	45	86
185	2	45	86
185	2	45	86
185	2	45	86
185	1	46	86
185	1	45	87
185	1	45	87
185	1	45	87
185	0	45	88
183	2	45	88
183	2	45	88
183	2	45	88
183	2	44	89
181	3	43	91
181	3	42	92
181	3	42	92
181	3	42	92
181	2	43	92
181	2	42	93
179	4	42	93
179	3	43	93
179	3	43	93
179	3	43	93
179	2	44	93
179	1	43	95
179	1	43	95
179	1	43	95
179	1	43	95
179	0	44	95
179	0	44	95
179	0	44	95
179	0	44	95
179	0	44	95
179	0	44	95
179	0	43	96
179	0	43	96
179	0	43	96
179	0	43	96
178	1	42	97
176	3	41	98
175	4	41	98
175	4	41	98
175	2	43	98
175	2	43	98
175	2	43	98
175	2	43	98
174	3	43	98
174	3	43	98
174	3	43	98
173	4	43	98
173	4	43	98
173	4	43	98
173	4	43	98
173	4	43	98
173	4	41	100
173	3	42	100
173	3	41	101
173	3	41	101
173	3	41	101
173	3	41	101
173	2	41	102
172	3	40	103
