S	E	I	R
315	1	2	0
315	1	2	0
314	2	2	0
314	2	2	0
314	2	2	0
314	2	2	0
313	3	2	0
312	4	2	0
312	4	2	0
312	4	2	0
312	4	2	0
312	4	2	0
312	4	2	0
312	4	2	0
312	4	2	0
312	4	2	0
312	4	2	0
312	3	3	0
311	4	3	0
311	3	4	0
309	5	4	0
309	4	5	0
309	4	5	0
309	4	5	0
309	4	5	0
308	4	6	0
308	4	6	0
308	4	6	0
308	4	6	0
308	4	6	0
308	4	6	0
308	4	6	0
308	4	6	0
308	4	6	0
308	3	7	0
308	3	7	0
308	3	7	0
308	3	7	0
308	3	7	0
308	3	7	0
308	3	7	0
308	2	8	0
308	2	8	0
308	2	8	0
308	2	8	0
308	2	8	0
308	2	8	0
308	1	9	0
308	1	9	0
307	2	9	0
307	2	9	0
307	2	9	0
307	2	9	0
306	2	10	0
306	2	10	0
306	2	10	0
306	1	11	0
306	1	11	0
306	1	11	0
306	0	12	0
306	0	12	0
306	0	12	0
306	0	12	0
306	0	12	0
306	0	12	0
306	0	12	0
306	0	12	0
306	0	11	1
306	0	11	1
306	0	11	1
305	1	11	1
305	1	11	1
305	1	11	1
305	1	10	2
305	1	10	2
305	1	10	2
305	1	10	2
304	1	11	2
303	2	11	2
303	1	12	2
303	1	12	2
303	1	12	2
303	1	12	2
303	1	12	2
303	1	12	2
303	1	12	2
303	1	12	2
303	1	11	3
303	0	12	3
303	0	12	3
303	0	12	3
303	0	12	3
303	0	12	3
303	0	12	3
303	0	12	3
303	0	12	3
303	0	12	3
303	0	12	3
303	0	12	3
303	0	12	3
